SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
EAST LONGMEADOW - EAST LONGMEADOW HIGH,00870505,2.4,0.1,1.0,96.5,0.0,49.7,50.3
EAST LONGMEADOW - MAPLESHADE,00870010,3.0,0.0,0.3,96.7,0.0,48.0,52.0
EAST LONGMEADOW - MEADOW BROOK,00870013,2.2,0.0,0.2,97.6,0.0,55.3,44.7
EAST LONGMEADOW - MOUNTAIN VIEW,00870015,1.6,0.6,0.0,97.8,0.0,51.0,49.0
EASTHAM - EASTHAM ELEMENTARY,00850005,1.5,0.3,2.6,95.6,0.0,54.2,45.8
EASTHAMPTON - CENTER SCHOOL,00860005,0.5,4.4,2.4,92.7,0.0,48.8,51.2
EASTHAMPTON - EASTHAMPTON HIGH,00860505,0.2,4.4,3.8,91.4,0.2,50.3,49.7
EASTHAMPTON - MAPLE,00860010,0.4,3.4,1.3,94.9,0.0,46.4,53.6
EASTHAMPTON - NEIL A PEPIN,00860020,0.0,1.3,3.0,95.7,0.0,45.2,54.8
EASTHAMPTON - PARSONS,00860015,0.0,4.0,10.7,83.9,1.3,45.6,54.4
EASTHAMPTON - WHITE BROOK MIDDLE SCHOOL,00860305,0.2,3.5,3.7,92.3,0.3,49.8,50.2
EASTON - CENTER SCHOOL,00880003,1.6,1.2,0.0,97.2,0.0,51.7,48.3
EASTON - EASTON JUNIOR HIGH,00880405,1.7,1.3,0.9,96.1,0.0,51.2,48.8
EASTON - F L OLMSTED,00880030,1.5,0.2,0.4,97.9,0.0,54.9,45.1
EASTON - H H RICHARDSON SCHOOL,00880025,3.8,1.4,1.6,93.2,0.0,53.1,46.9
EASTON - MOREAU HALL,00880020,3.3,0.9,1.5,94.3,0.0,52.5,47.5
EASTON - OLIVER AMES HIGH,00880505,2.3,1.5,0.8,94.9,0.4,49.7,50.3
EASTON - PARKVIEW ELEMENTARY,00880015,1.8,0.6,0.2,97.4,0.0,51.9,48.1
EDGARTOWN - EDGARTOWN ELEMENTARY,00890005,0.5,1.8,4.8,92.8,0.2,51.4,48.6
ERVING - ERVING ELEMENTARY,00910030,0.6,0.0,0.0,99.4,0.0,53.7,46.3
ESSEX - ESSEX ELEMENTARY,00920005,0.5,0.5,0.0,99.0,0.0,48.1,51.9
