SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Greenfield - Newton School,01140035,2.4,3.3,12.4,80.5,0.0,0.0,1.4,47.6,52.4
Greenfield - The Academy of Early Learning at North Parish,01140005,0.0,0.0,5.9,94.1,0.0,0.0,0.0,54.5,45.5
Groton-Dunstable - Boutwell School,06730001,0.0,6.9,0.0,93.1,0.0,0.0,0.0,58.6,41.4
Groton-Dunstable - Florence Roche School,06730010,0.4,6.1,1.8,91.2,0.0,0.2,0.4,51.7,48.3
Groton-Dunstable - Groton Dunstable Regional,06730505,0.3,4.1,1.8,93.3,0.1,0.0,0.3,51.4,48.6
Groton-Dunstable - Groton Dunstable Regional Middle,06730305,0.7,3.6,1.0,93.7,0.0,0.1,0.8,51.2,48.8
Groton-Dunstable - Swallow/Union School,06730005,0.7,5.5,0.3,92.8,0.0,0.7,0.0,51.4,48.6
Hadley - Hadley Elementary,01170015,2.1,1.8,7.6,80.2,0.5,4.4,3.4,52.0,48.0
Hadley - Hopkins Academy,01170505,2.9,2.5,5.0,84.9,0.0,0.7,4.0,44.6,55.4
Halifax - Halifax Elementary,01180005,1.7,1.2,0.3,96.4,0.0,0.2,0.2,51.0,49.0
Hamilton-Wenham - Bessie Buker Elementary,06750007,0.0,4.8,0.0,93.6,0.0,0.4,1.2,48.2,51.8
Hamilton-Wenham - Cutler School,06750010,1.5,2.6,2.6,91.9,0.0,0.0,1.5,49.4,50.6
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,1.4,3.9,1.3,91.6,0.0,0.1,1.6,40.9,59.1
Hamilton-Wenham - Miles River Middle,06750310,0.4,3.8,1.8,91.5,0.0,0.4,2.0,52.6,47.4
Hamilton-Wenham - Winthrop School,06750015,2.7,5.1,0.0,90.9,0.3,0.3,0.7,49.3,50.7
Hampden Charter School of Science (District) - Hampden Charter School of Science,04990305,23.7,3.6,26.0,45.8,0.6,0.3,0.0,50.0,50.0
Hampden-Wilbraham - Green Meadows Elementary,06800005,4.5,1.5,5.3,86.8,0.0,0.0,1.9,48.1,51.9
Hampden-Wilbraham - Mile Tree Elementary,06800025,1.2,1.5,6.3,87.5,0.3,0.0,3.3,50.0,50.0
Hampden-Wilbraham - Minnechaug Regional High,06800505,4.4,3.0,4.6,86.4,0.0,0.2,1.4,50.2,49.8
Hampden-Wilbraham - Soule Road,06800030,0.9,5.6,3.8,87.5,0.0,0.0,2.2,47.2,52.8
Hampden-Wilbraham - Stony Hill School,06800050,1.7,2.3,7.0,87.2,0.3,0.0,1.5,51.3,48.7
Hampden-Wilbraham - Thornton Burgess,06800305,2.1,2.1,4.8,87.7,0.0,0.0,3.4,52.1,47.9
Hampden-Wilbraham - Wilbraham Middle,06800310,1.5,2.3,4.2,90.5,0.0,0.5,1.0,50.4,49.6
Hampshire - Hampshire Regional High,06830505,0.5,0.5,2.1,95.4,0.0,0.0,1.4,47.0,53.0
Hancock - Hancock Elementary,01210005,2.2,0.0,0.0,97.8,0.0,0.0,0.0,45.7,54.3
Hanover - Cedar Elementary,01220004,2.0,2.4,1.6,94.0,0.0,0.0,0.0,49.7,50.3
Hanover - Center Elementary,01220005,0.0,1.8,1.5,96.1,0.0,0.0,0.6,52.4,47.6
Hanover - Hanover High,01220505,1.3,1.0,0.9,96.6,0.0,0.0,0.1,48.1,51.9
Hanover - Hanover Middle,01220305,0.6,1.8,0.4,97.0,0.0,0.0,0.2,54.6,45.4
Hanover - Sylvester,01220015,0.0,1.7,0.9,97.4,0.0,0.0,0.0,56.2,43.8
Harvard - Bromfield,01250505,1.8,8.0,1.5,87.3,0.1,0.1,1.2,50.1,49.9
Harvard - Hildreth Elementary School,01250005,2.8,8.7,4.9,80.2,0.0,0.0,3.4,53.0,47.0
Hatfield - Hatfield Elementary,01270005,0.0,0.8,2.3,94.9,0.0,0.0,2.0,52.7,47.3
Hatfield - Smith Academy,01270505,2.6,1.5,1.5,92.3,0.0,0.0,2.1,49.0,51.0
Haverhill - Bartlett Kindergarten Center,01280005,8.9,4.8,0.7,84.2,1.4,0.0,0.0,51.4,48.6
Haverhill - Bradford Elementary,01280008,3.5,1.7,12.3,81.8,0.0,0.3,0.5,53.6,46.4
Haverhill - Caleb Dustin Hunking,01280035,3.8,1.4,13.7,80.8,0.0,0.2,0.0,53.4,46.6
Haverhill - Consentino Middle School,01280100,4.0,1.8,36.2,57.3,0.1,0.1,0.4,51.1,48.9
Haverhill - Crowell,01280020,6.3,2.5,13.8,77.5,0.0,0.0,0.0,43.8,56.3
